1, Landorus-Therian   ,52.63806,1018310,32.347,877763,35.218, 
2, Dragapult          ,33.73239,631907,20.073,479061,19.221, 
3, Heatran            ,28.60831,521295,16.559,435007,17.453, 
4, Tapu Lele          ,26.95817,362818,11.525,279594,11.218, 
5, Kartana            ,23.3328,467093,14.837,351802,14.115, 
6, Urshifu-Rapid-Strike ,22.25931,411506,13.072,329159,13.207, 
7, Ferrothorn         ,22.11208,672654,21.367,580877,23.306, 
8, Weavile            ,21.01195,436669,13.871,329039,13.202, 
9, Clefable           ,20.04907,385620,12.249,301803,12.109, 
10, Zapdos             ,17.07133,433190,13.76,358004,14.364, 
11, Melmetal           ,16.45982,429056,13.629,351399,14.099, 
12, Garchomp           ,15.81824,550851,17.498,432599,17.357, 
13, Rillaboom          ,13.42849,400962,12.737,309438,12.415, 
14, Corviknight        ,12.95927,369307,11.731,301825,12.11, 
15, Toxapex            ,11.7089,347010,11.023,281448,11.292, 
16, Skarmory           ,11.26055,76414,2.427,65933,2.645, 
17, Tornadus-Therian   ,10.2742,289128,9.184,234819,9.421, 
18, Tapu Koko          ,9.1406,260044,8.26,210975,8.465, 
19, Tapu Fini          ,8.96916,255790,8.125,212174,8.513, 
20, Slowking-Galar     ,8.60246,193969,6.161,155551,6.241, 
21, Tyranitar          ,8.21583,294554,9.357,244867,9.825, 
22, Volcarona          ,8.04642,252313,8.015,185113,7.427, 
23, Hydreigon          ,8.02925,86179,2.738,67637,2.714, 
24, Slowbro            ,6.99756,233521,7.418,190847,7.657, 
25, Zeraora            ,6.64935,192498,6.115,146485,5.877, 
26, Rotom-Wash         ,6.4365,177467,5.637,155446,6.237, 
27, Dragonite          ,6.38316,249531,7.926,185546,7.445, 
28, Volcanion          ,6.32536,167996,5.336,137035,5.498, 
29, Buzzwole           ,5.88416,196193,6.232,155466,6.238, 
30, Blaziken           ,5.31782,181006,5.75,135365,5.431, 
31, Nihilego           ,4.95351,53138,1.688,39670,1.592, 
32, Blacephalon        ,4.72608,252513,8.021,187508,7.523, 
33, Mandibuzz          ,4.53762,67597,2.147,53871,2.161, 
34, Pelipper           ,4.49461,254756,8.092,232748,9.338, 
35, Excadrill          ,4.45635,189128,6.008,142885,5.733, 
36, Magnezone          ,4.11809,156258,4.964,122843,4.929, 
37, Barraskewda        ,3.94853,217394,6.906,166623,6.685, 
38, Victini            ,3.79098,151977,4.828,122986,4.934, 
39, Gastrodon          ,3.71691,76419,2.427,61801,2.48, 
40, Mew                ,3.6677,214829,6.824,183303,7.355, 
41, Blissey            ,3.61802,238172,7.566,186106,7.467, 
42, Hawlucha           ,3.60462,109867,3.49,77637,3.115, 
43, Zapdos-Galar       ,3.54738,101947,3.238,79098,3.174, 
44, Hippowdon          ,3.48461,91800,2.916,80567,3.233, 
45, Aegislash          ,3.41699,104053,3.305,80755,3.24, 
46, Chansey            ,3.30419,51692,1.642,39715,1.593, 
47, Bisharp            ,3.20394,163882,5.206,124213,4.984, 
48, Moltres-Galar      ,3.19127,69411,2.205,50397,2.022, 
49, Crawdaunt          ,3.12882,137257,4.36,100897,4.048, 
50, Ninetales-Alola    ,3.12631,177171,5.628,152142,6.104, 
51, Slowking           ,3.00622,57513,1.827,46096,1.849, 
52, Regieleki          ,2.93478,186997,5.94,140760,5.648, 
53, Nidoking           ,2.90341,119697,3.802,94909,3.808, 
54, Celesteela         ,2.79572,97532,3.098,77150,3.095, 
55, Tangrowth          ,2.74951,65764,2.089,54134,2.172, 
56, Kommo-o            ,2.41465,67996,2.16,51278,2.057, 
57, Quagsire           ,2.21143,37006,1.176,28267,1.134, 
58, Suicune            ,2.10233,20902,0.664,16752,0.672, 
59, Marowak-Alola      ,1.91836,45271,1.438,34983,1.404, 
60, Azumarill          ,1.91462,57209,1.817,44905,1.802, 
61, Cresselia          ,1.86896,38285,1.216,29361,1.178, 
62, Latios             ,1.82281,59417,1.887,46312,1.858, 
63, Arctozolt          ,1.68843,51681,1.642,40377,1.62, 
64, Scizor             ,1.68729,111557,3.544,85236,3.42, 
65, Seismitoad         ,1.65982,108181,3.436,88606,3.555, 
66, Hatterene          ,1.64338,88163,2.801,73047,2.931, 
67, Necrozma           ,1.58619,15771,0.501,11959,0.48, 
68, Polteageist        ,1.52526,35095,1.115,24727,0.992, 
69, Dracozolt          ,1.41703,50502,1.604,38518,1.545, 
70, Mamoswine          ,1.41563,64490,2.049,52364,2.101, 
71, Xatu               ,1.30446,14633,0.465,11886,0.477, 
72, Swampert           ,1.05667,92647,2.943,81257,3.26, 
73, Heliolisk          ,0.97194,21294,0.676,15684,0.629, 
74, Cloyster           ,0.96011,86245,2.74,62887,2.523, 
75, Umbreon            ,0.95776,65024,2.066,50032,2.007, 
76, Raikou             ,0.89178,8349,0.265,6461,0.259, 
77, Shedinja           ,0.87616,25803,0.82,18112,0.727, 
78, Thundurus-Therian  ,0.84657,36924,1.173,28850,1.158, 
79, Torkoal            ,0.75827,82537,2.622,75047,3.011, 
80, Jirachi            ,0.73647,45746,1.453,35482,1.424, 
81, Porygon2           ,0.72007,54729,1.738,45089,1.809, 
82, Venusaur           ,0.56647,73427,2.332,56592,2.271, 
83, Tapu Bulu          ,0.52751,31478,1.0,25026,1.004, 
84, Stakataka          ,0.5132,18044,0.573,13901,0.558, 
85, Dusknoir           ,0.48593,5646,0.179,4528,0.182, 
86, Darmanitan         ,0.48285,38515,1.223,29571,1.186, 
87, Keldeo             ,0.4808,31332,0.995,25107,1.007, 
88, Primarina          ,0.44313,23846,0.757,18847,0.756, 
89, Ditto              ,0.42203,44910,1.427,32598,1.308, 
90, Reuniclus          ,0.42119,27761,0.882,20548,0.824, 
91, Latias             ,0.36153,29629,0.941,22099,0.887, 
92, Rotom-Heat         ,0.35343,42650,1.355,35309,1.417, 
93, Salamence          ,0.345,46026,1.462,34117,1.369, 
94, Pyukumuku          ,0.34233,11861,0.377,9270,0.372, 
95, Gengar             ,0.33734,115700,3.675,84490,3.39, 
96, Audino             ,0.32731,3860,0.123,2984,0.12, 
97, Moltres            ,0.29891,24896,0.791,20321,0.815, 
98, Conkeldurr         ,0.29142,43998,1.398,34139,1.37, 
99, Obstagoon          ,0.27525,24149,0.767,19087,0.766, 
100, Inteleon           ,0.26651,18323,0.582,13892,0.557, 
101, Togekiss           ,0.2624,63953,2.031,48872,1.961, 
102, Snorlax            ,0.24336,37647,1.196,28905,1.16, 
103, Zarude             ,0.23853,13723,0.436,10217,0.41, 
104, Weezing-Galar      ,0.23778,20188,0.641,16518,0.663, 
105, Scolipede          ,0.23045,19013,0.604,14669,0.589, 
106, Registeel          ,0.22131,9524,0.303,7510,0.301, 
107, Omastar            ,0.21205,9031,0.287,6704,0.269, 
108, Vanilluxe          ,0.21106,7465,0.237,6240,0.25, 
109, Regidrago          ,0.20429,10988,0.349,8114,0.326, 
110, Kingdra            ,0.20086,33937,1.078,25417,1.02, 
111, Porygon-Z          ,0.18825,29416,0.934,22641,0.908, 
112, Alakazam           ,0.1858,56843,1.806,39639,1.59, 
113, Sableye            ,0.17146,14693,0.467,11854,0.476, 
114, Toxtricity         ,0.16598,22060,0.701,16602,0.666, 
115, Drampa             ,0.1655,4525,0.144,3339,0.134, 
116, Cobalion           ,0.15728,8908,0.283,7675,0.308, 
117, Cursola            ,0.15677,5416,0.172,4177,0.168, 
118, Runerigus          ,0.15358,8106,0.257,6853,0.275, 
119, Silvally-Fairy     ,0.14747,1554,0.049,1174,0.047, 
120, Cinccino           ,0.14543,7258,0.231,5580,0.224, 
121, Terrakion          ,0.14243,26393,0.838,20189,0.81, 
122, Whimsicott         ,0.13499,20574,0.654,15933,0.639, 
123, Raichu-Alola       ,0.13402,11288,0.359,8338,0.335, 
124, Klefki             ,0.13186,24376,0.774,21041,0.844, 
125, Lycanroc-Dusk      ,0.12532,34059,1.082,28829,1.157, 
126, Diggersby          ,0.11961,15850,0.503,12335,0.495, 
127, Amoonguss          ,0.11595,30033,0.954,22947,0.921, 
128, Druddigon          ,0.11123,8934,0.284,7925,0.318, 
129, Bewear             ,0.111,7906,0.251,6041,0.242, 
130, Galvantula         ,0.10838,38384,1.219,33822,1.357, 
131, Charizard          ,0.10759,49893,1.585,37233,1.494, 
132, Escavalier         ,0.10508,3751,0.119,2883,0.116, 
133, Salazzle           ,0.10162,26792,0.851,20667,0.829, 
134, Araquanid          ,0.10032,19559,0.621,17012,0.683, 
135, Grimmsnarl         ,0.10005,55454,1.762,46681,1.873, 
136, Heracross          ,0.10003,17649,0.561,12878,0.517, 
137, Metagross          ,0.09879,36585,1.162,27887,1.119, 
138, Krookodile         ,0.09866,34593,1.099,27269,1.094, 
139, Shiftry            ,0.09841,5277,0.168,3963,0.159, 
140, Gyarados           ,0.09699,52601,1.671,40176,1.612, 
141, Centiskorch        ,0.09691,6005,0.191,4671,0.187, 
142, Lanturn            ,0.09682,12752,0.405,10550,0.423, 
143, Aerodactyl         ,0.0956,10564,0.336,8853,0.355, 
144, Nidoqueen          ,0.09516,7452,0.237,5961,0.239, 
145, Incineroar         ,0.09264,39096,1.242,31946,1.282, 
146, Lapras             ,0.08821,10110,0.321,7833,0.314, 
147, Xurkitree          ,0.08786,17040,0.541,12662,0.508, 
148, Glastrier          ,0.08682,7768,0.247,5826,0.234, 
149, Claydol            ,0.08417,7575,0.241,6167,0.247, 
150, Diancie            ,0.08265,10226,0.325,8019,0.322, 
151, Rhyperior          ,0.08087,15758,0.501,12412,0.498, 
152, Ribombee           ,0.07798,26000,0.826,23495,0.943, 
153, Durant             ,0.07617,8688,0.276,6462,0.259, 
154, Espeon             ,0.07389,30009,0.953,22787,0.914, 
155, Mimikyu            ,0.07352,42739,1.358,30725,1.233, 
156, Clawitzer          ,0.07071,7215,0.229,5618,0.225, 
157, Steelix            ,0.06998,9896,0.314,8037,0.322, 
158, Politoed           ,0.06547,15793,0.502,13582,0.545, 
159, Mienshao           ,0.06509,24548,0.78,18767,0.753, 
160, Shuckle            ,0.06387,41151,1.307,37138,1.49, 
161, Gardevoir          ,0.0602,29465,0.936,21493,0.862, 
